ID,EntryTime,Side,EntryPrice,Size,ValueUSDC,TP%,SL%,ExitPrice,PnL_USDC,PnL%,ExitReason,TPOrderID,SLOrderID
84,2026-02-24 15:53:14,SHORT,0.7,6.0,4.199999999999999,0.2381,0.2381,0.44,-1.5599999999999996,-37.14285714285714,STOP_LOSS_LOCAL,0x8cb008e227c34462acaaba967ca5f1ba8df81ade57a6e393f94b586726ae4c84,0.53
83,2026-02-24 15:27:24,SHORT,0.8,6.0,4.800000000000001,0.2083,0.2083,0.99,1.1399999999999997,23.74999999999999,AUTO_CLOSED_OR_MANUAL,0xf65059001c0a6606b0a4bf012a881ce8e79b86bb380e84b77b73d538f33f6f4e,0.63
81,2026-02-24 12:46:29,SHORT,0.5,6.0,3.0,0.3333,0.3333,0.71,1.2599999999999998,41.99999999999999,AUTO_CLOSED_OR_MANUAL,,0.33
80,2026-02-24 12:37:44,SHORT,0.74,6.0,4.4399999999999995,0.2252,0.2252,0.25,-2.94,-66.21621621621621,AUTO_CLOSED_OR_MANUAL,,0.57
79,2026-02-24 12:30:23,SHORT,0.5,6.0,3.0,0.3333,0.3333,0.72,1.3199999999999998,43.99999999999999,AUTO_CLOSED_OR_MANUAL,0x33a1667a4297fad2660c4f4a250dd1b56167a20d937d41e04ed03d24c4cf7760,0.33
78,2026-02-24 12:18:31,LONG,0.62,6.0,3.7199999999999998,0.2688,0.2688,0.84,1.3199999999999998,35.48387096774193,AUTO_CLOSED_OR_MANUAL,0x246a643ee02eb64e91c5fe43e778bde437b870a0831d11960893d120273fefd1,0.45
77,2026-02-24 12:16:34,LONG,0.58,6.0,3.4799999999999995,0.2874,0.2874,0.83,1.5,43.10344827586208,AUTO_CLOSED_OR_MANUAL,,0.41
76,2026-02-24 12:13:54,SHORT,0.76,6.0,4.5600000000000005,0.2193,0.2193,0.999,1.434,31.44736842105263,AUTO_CLOSED_OR_MANUAL,,0.59
75,2026-02-24 12:11:13,SHORT,0.66,6.0,3.96,0.2525,0.2525,0.97,1.8599999999999997,46.96969696969696,AUTO_CLOSED_OR_MANUAL,,0.49
74,2026-02-24 12:08:02,LONG,0.6,6.0,3.5999999999999996,0.2778,0.2778,0.365,-1.41,-39.166666666666664,SIGNAL_CHANGE,,0.43
73,2026-02-24 12:00:38,LONG,0.54,6.0,3.24,0.3086,0.3086,0.01,-3.18,-98.14814814814815,SIGNAL_CHANGE,0xcceec1cc503f02a0fd250cc9af449e81abff67aa9b0208b5079ab35402eab6d3,0.37
72,2026-02-24 11:40:49,SHORT,0.65,6.0,3.9000000000000004,0.2564,0.2564,0.2,-2.7,-69.23076923076923,AUTO_CLOSED_OR_MANUAL,,0.48
71,2026-02-24 11:24:42,LONG,0.68,6.0,4.08,0.2451,0.2451,0.48,-1.2000000000000004,-29.41176470588236,STOP_LOSS_LOCAL,0xe8471f17314c427158860e2f7c1f0340e9c00999b3634a3818638d529d32a45a,0.51
70,2026-02-24 11:16:30,LONG,0.58,6.0,3.4799999999999995,0.2874,0.2874,0.75,1.0200000000000002,29.310344827586217,AUTO_CLOSED_OR_MANUAL,,0.41
69,2026-02-24 11:06:28,SHORT,0.62,6.0,3.7199999999999998,0.2688,0.2688,0.97,2.0999999999999996,56.4516129032258,AUTO_CLOSED_OR_MANUAL,,0.45
68,2026-02-24 11:00:57,SHORT,0.5,6.0,3.0,0.3333,0.3333,0.7309950248756218,1.385970149253731,46.19900497512437,AUTO_CLOSED_OR_MANUAL,0x0593a4fa23fc7c2dde95ae3a5fbda856f322daff1ee4b4f35e643e2d67a64cab,0.33
67,2026-02-24 10:55:53,LONG,0.62,6.0,3.7199999999999998,0.2688,0.2688,0.37,-1.5,-40.322580645161295,AUTO_CLOSED_OR_MANUAL,,0.45
66,2026-02-24 10:43:46,SHORT,0.82,6.0,4.92,0.2033,0.2033,0.999,1.0740000000000003,21.829268292682933,AUTO_CLOSED_OR_MANUAL,,0.65
65,2026-02-24 10:38:31,SHORT,0.64,6.0,3.84,0.2604,0.2604,0.88,1.44,37.5,AUTO_CLOSED_OR_MANUAL,0xd42693e74c50d8a10c5a2130b75735c8681fd9cb765ca86f21460b6b7ad251ef,0.47
64,2026-02-24 10:36:59,LONG,0.58,6.0,3.4799999999999995,0.2874,0.2874,0.28,-1.7999999999999996,-51.72413793103448,STOP_LOSS_LOCAL,0x8c2e9b0732e38f500da2db6f758469f2b3433017928b0da12dfcd5ce1f20ee5b,0.41
